,title,artist,year,bpm,energy,danceability,dB,liveness,valence,duration,acousticness,speechiness,popularity,genre
246,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,2015,86,73,60,-4,33,53,193,24,15,72,dance pop
247,Blow,Kesha,2011,120,73,75,-4,7,81,220,0,4,64,dance pop
248,Blah Blah Blah (feat. 3OH!3),Kesha,2010,120,84,75,-3,42,52,172,8,12,62,dance pop
249,Wings,Birdy,2014,83,71,47,-5,16,22,252,8,3,62,neo mellow
250,Turn Up the Music,Chris Brown,2012,130,84,59,-6,16,64,228,0,10,65,dance pop
251,Up,Olly Murs,2015,115,85,69,-5,10,64,224,2,3,69,dance pop
252,Get Low (with Liam Payne),Zedd,2017,108,93,72,-4,5,54,205,3,5,66,complextro
253,BURNITUP!,Janet Jackson,2016,123,71,83,-7,31,83,250,5,18,31,dance pop
254,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,2015,190,61,26,-7,13,28,253,25,5,79,dance pop
255,Make Me... (feat. G-Eazy),Britney Spears,2016,123,70,70,-7,22,58,231,16,10,53,dance pop
256,Into You,Ariana Grande,2016,108,73,62,-6,14,37,244,2,11,80,dance pop
257,Sugar (feat. Francesco Yates),Robin Schulz,2015,123,82,64,-5,16,64,219,2,6,60,dance pop
258,Lay It All on Me,Rudimental,2015,123,75,67,-7,19,48,242,14,4,62,dance pop
259,Rock N Roll,Avril Lavigne,2013,184,96,47,-3,34,67,207,1,13,61,canadian pop
260,Love Me Like You,Little Mix,2015,106,67,79,-4,28,85,198,21,4,65,dance pop
261,When We Were Young,Adele,2016,144,59,38,-6,9,27,291,35,5,58,british soul
262,BO$$,Fifth Harmony,2015,103,87,81,-5,5,74,171,1,11,66,dance pop
263,Story of My Life,One Direction,2013,121,66,60,-6,12,29,245,23,5,81,boy band
264,Like A G6,Far East Movement,2010,125,84,44,-8,12,78,217,1,45,72,dance pop
265,Him & I (with Halsey),G-Eazy,2018,88,73,59,-6,31,19,269,5,9,78,hip hop
266,Story of My Life,One Direction,2013,121,66,60,-6,12,29,245,23,5,81,boy band
267,Don't Be A Fool,Shawn Mendes,2016,175,34,47,-6,10,27,216,60,4,65,canadian pop
268,Starships,Nicki Minaj,2012,125,72,75,-2,25,75,211,14,8,73,dance pop
269,Under Control,Calvin Harris,2013,126,92,54,-3,12,51,184,13,8,74,dance pop
270,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,2014,192,77,35,-4,12,4,191,6,5,61,dance pop
271,Jealous - Remix,Nick Jonas,2015,93,71,68,-4,44,45,222,1,8,70,dance pop
272,Adore You,Miley Cyrus,2014,120,66,58,-5,11,20,279,11,3,72,dance pop
273,"Ooh La La (from ""The Smurfs 2"")",Britney Spears,2013,128,57,69,-5,11,73,257,2,5,45,dance pop
274,Heroes (we could be),Alesso,2015,126,75,52,-4,24,35,210,4,6,56,big room
275,A L I E N S,Coldplay,2017,148,88,43,-5,21,25,282,0,4,41,permanent wave
276,Cannonball,Lea Michele,2014,92,82,56,-3,19,57,215,2,5,37,hollywood
277,Love Somebody,Maroon 5,2013,120,78,68,-6,12,40,230,13,4,65,pop
